# Scalar output
"Time","VMax"
1.819888558679557e+09,9.797477193511248e-10
1.833944755064065e+09,9.797400358431806e-10
1.847657197659658e+09,9.797329023127182e-10
1.861430492524789e+09,9.797260736579148e-10
1.875571864678235e+09,9.797193889296185e-10
1.890349490664298e+09,9.797127305660052e-10
1.906010858034716e+09,9.797060104085140e-10
1.922774041878269e+09,9.796991699219430e-10
1.940159874456156e+09,9.796924289756541e-10
1.957769557846920e+09,9.796859396806713e-10
1.975783399818733e+09,9.796796291452851e-10
1.994460998865928e+09,9.796734154076648e-10
2.004187616557043e+09,9.796703070934754e-10
2.014306993179868e+09,9.796671638493151e-10
2.025012508856351e+09,9.796639378976937e-10
2.036415684977509e+09,9.796606132906898e-10
2.048075017645462e+09,9.796573328195988e-10
2.060083013615200e+09,9.796540803103648e-10
2.071878294919623e+09,9.796510110565303e-10
2.082528865995159e+09,9.796483479763729e-10
2.092565470660697e+09,9.796459338503699e-10
2.102243053551864e+09,9.796436951651406e-10
2.120963549409184e+09,9.796396184994891e-10
2.139227044686444e+09,9.796359738952477e-10
2.157318932504690e+09,9.796327004038915e-10
2.175440504470299e+09,9.796297722822131e-10
2.193764063795751e+09,9.796271850196239e-10
2.211749100326276e+09,9.796250281950669e-10
2.229221771585766e+09,9.796233125847347e-10
2.246303938571791e+09,9.796220120394637e-10
2.263033628331591e+09,9.796211113442588e-10
2.279374679706930e+09,9.796205960797640e-10
2.295300748182003e+09,9.796204442758834e-10
2.310843660864678e+09,9.796206291448988e-10
2.326139680342355e+09,9.796211282155626e-10
2.341887330836607e+09,9.796219632430683e-10
2.355470351509372e+09,9.796229370604282e-10
2.368009793320207e+09,9.796240359998184e-10
2.379247165534782e+09,9.796251755838890e-10
2.389857395351644e+09,9.796263771835897e-10
2.400198559700430e+09,9.796276563462131e-10
2.410515804545646e+09,9.796290283405263e-10
2.421006608816406e+09,9.796305096408082e-10
2.431847639204433e+09,9.796321182180292e-10
2.443208905075161e+09,9.796338734660211e-10
2.455262521400891e+09,9.796357958652346e-10
2.468186768054506e+09,9.796379060065186e-10
2.482138886311164e+09,9.796402182524055e-10
2.496435056652341e+09,9.796426019103380e-10
2.510930699494343e+09,9.796450130764174e-10
2.525689240584276e+09,9.796474440884370e-10
2.540773839110500e+09,9.796498888914658e-10
2.556280690007636e+09,9.796523482271964e-10
2.572384354710814e+09,9.796548361094396e-10
2.589422578519861e+09,9.796573910490529e-10
2.608169083164025e+09,9.796601121481206e-10
2.618864172563802e+09,9.796616255161779e-10
2.630107767897861e+09,9.796631894272563e-10
2.640610120658048e+09,9.796646285033596e-10
2.651112486112407e+09,9.796660502682515e-10
2.660765926554178e+09,9.796673452793950e-10
2.678804857535069e+09,9.796697468933310e-10
2.696017635123351e+09,9.796720349960749e-10
2.712822986871078e+09,9.796742877076380e-10
2.729432509445304e+09,9.796765549554116e-10
2.745984067311486e+09,9.796788784785479e-10
2.762585503155740e+09,9.796812993221946e-10
2.779334615264412e+09,9.796838623297438e-10
2.796330269486397e+09,9.796866199213171e-10
2.813248682785200e+09,9.796895583354829e-10
2.829937429840179e+09,9.796926843627804e-10
2.846636792921361e+09,9.796960787547869e-10
2.863513785445902e+09,9.796998214912163e-10
2.880426335174989e+09,9.797039271733073e-10
2.896677435282134e+09,9.797082396211061e-10
2.911638406776818e+09,9.797125478154399e-10
2.925483200582952e+09,9.797168316133959e-10
2.938521096592903e+09,9.797211270612978e-10
2.950856343239850e+09,9.797254201001506e-10
2.962719291628025e+09,9.797297526659243e-10
2.973273873599117e+09,9.797337698676186e-10
2.986899396240047e+09,9.797391737789051e-10
2.999577498976053e+09,9.797444130109802e-10
3.012296116058692e+09,9.797498606810191e-10
3.025561877060841e+09,9.797557269384312e-10
3.037976249178902e+09,9.797613603591655e-10
3.050294842861218e+09,9.797670556793624e-10
3.063161641826859e+09,9.797730789404163e-10
3.077105872427376e+09,9.797796463342662e-10
3.087258210777725e+09,9.797844259718291e-10
3.098276767232661e+09,9.797895873773470e-10
3.110297271472706e+09,9.797951611628344e-10
3.122945095798375e+09,9.798009315413928e-10
3.135440075184813e+09,9.798065074994050e-10
3.147736613541276e+09,9.798118472799238e-10
3.159865009678169e+09,9.798169483293906e-10
3.171925481165784e+09,9.798218400859424e-10
3.184067034890754e+09,9.798265700707020e-10
3.196477316717474e+09,9.798311953268825e-10
3.209388726397552e+09,9.798357803445425e-10
3.223105349068059e+09,9.798404011418833e-10
3.238072489068686e+09,9.798451594388804e-10
3.255090507675097e+09,9.798502298911921e-10
3.264917997338189e+09,9.798530033655969e-10
3.275949919029884e+09,9.798559903789404e-10
3.287600199454277e+09,9.798590082297920e-10
3.299733268001225e+09,9.798620120301244e-10
3.310769462533219e+09,9.798646299757064e-10
3.321360852210374e+09,9.798670478470345e-10
3.331793931888041e+09,9.798693462714491e-10
3.342174202197920e+09,9.798715581367701e-10
3.352550695397126e+09,9.798737017430149e-10
3.362947526330760e+09,9.798757894031439e-10
3.373374829342913e+09,9.798778305638373e-10
3.383833885468081e+09,9.798798333054545e-10
3.394320005255936e+09,9.798818051978167e-10
3.404824380064429e+09,9.798837538227930e-10
3.415335399764039e+09,9.798856871383960e-10
3.425839663965547e+09,9.798876137245035e-10
3.436322793962199e+09,9.798895429705158e-10
3.446770094791194e+09,9.798914852253622e-10
3.457167088428299e+09,9.798934519313049e-10
3.467499919420714e+09,9.798954557471658e-10
3.477755625969550e+09,9.798975106803854e-10
3.487922258474077e+09,9.798996322243500e-10
3.497988813722761e+09,9.799018375091208e-10
3.507944943959358e+09,9.799041454371205e-10
3.517780377585548e+09,9.799065767791322e-10
3.527483971273811e+09,9.799091541449976e-10
3.537042313728117e+09,9.799119017029481e-10
3.554479803302676e+09,9.799175891993552e-10
3.569888670373381e+09,9.799235670923030e-10
3.582926884859350e+09,9.799295598687985e-10
